Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Sektor,Sistem Penjualan,Tingkat Pesaing Usaha,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit,Sasaran Produk
Pengolahan Kedelai,172.4,273.6,4,Industri Pengolahan,2.0,2.0,0.23,0.0,0.0,5.0,1.0
Pengolahan Kedelai,130.5,228.0,2,Industri Pengolahan,3.0,2.0,0.25,5.0,126.0,6.0,2.0
Pembuatan Steling,143.25,390.0,4,Industri Pengolahan,2.0,1.0,0.2,10.0,13.0,5.0,2.0
Pembuatan Kursi Bambu,131.5,181.35,14,Industri Pengolahan,1.0,2.0,0.22,10.0,128.0,8.0,2.0
Pembuatan Batu Bata,111.4,176.0,8,Industri Pengolahan,2.0,1.0,0.15,5.0,60.0,9.0,1.0
Pengolahan Kedelai,52.61,129.0,2,Industri Pengolahan,2.0,2.0,0.2,5.0,0.0,9.0,1.0
Pembuatan Jagung Rebus,165.45,840.0,6,Industri Pengolahan,3.0,2.0,0.15,0.0,201.0,5.0,1.0
Pembuatan Kerupuk,107.25,441.0,11,Industri Pengolahan,3.0,0.0,0.1,10.0,120.0,5.0,1.0
"Pembuatan Dandang,Tong Air, Dll",933.0,102.0,2,Industri Pengolahan,2.0,0.0,0.2,5.0,12.0,5.0,1.0
Pembuatan Kerupuk,660.0,260.0,6,Industri Pengolahan,1.0,0.0,0.1,10.0,30.0,7.0,1.0
Pembuatan Bandeng Duri,125.0,116.0,2,Industri Pengolahan,2.0,1.0,0.1,10.0,118.0,5.0,2.0
Pembuatan Daster Cantik,323.0,14.0,2,Industri Pengolahan,2.0,2.0,0.1,5.0,308.0,5.0,2.0
Pembuatan Kain Batik,220.5,28.0,5,Industri Pengolahan,1.0,2.0,0.1,5.0,207.0,6.0,2.0
Pembuatan Kebaya,473.0,51.0,15,Industri Pengolahan,1.0,1.0,0.1,5.0,400.0,5.0,2.0
Pembuatan Busana Muslim,124.12,32.0,7,Industri Pengolahan,2.0,1.0,0.1,5.0,225.0,4.0,2.0
Pembuatan Candle holder,69.0,120.0,25,Industri Pengolahan,2.0,0.0,0.2,0.0,15.0,5.0,2.0
Pembuatan Peyek Kacang,69.75,589.68,6,Industri Pengolahan,3.0,2.0,0.3,,35.0,4.0,1.0
Pembuatan Peyek Kacang,61.68,62.0,4,Industri Pengolahan,2.0,1.0,0.25,4.0,6.0,6.0,1.0
Pembuatan Peyek Kacang,68.25,631.8,9,Industri Pengolahan,3.0,0.0,0.25,5.0,15.0,3.0,1.0
Keramik Kuburan,170.5,12.6,2,Industri Pengolahan,1.0,2.0,0.1,9.0,150.0,4.0,2.0
Pembuat Baju,0.0,0.0,2,Industri Pengolahan,1.0,0.0,0.0,0.0,4.0,2.0,1.0
Yazid Snack,0.0,0.0,4,Industri Pengolahan,1.0,0.0,0.0,10.0,10.0,6.0,1.0
Peyek Maco,0.0,0.0,3,Industri Pengolahan,1.0,0.0,0.0,10.0,0.0,5.0,1.0
Pembuatan Snack Dan Roti Tart,154.5,15.2,2,Industri Pengolahan,1.0,1.0,0.5,5.0,157.0,6.0,1.0
Pembuatan Batik,375.68,130.0,8,Industri Pengolahan,1.0,1.0,0.8,0.0,233.0,6.0,3.0
Pembuatan Wingko,0.011706,164.0,10,Industri Pengolahan,2.0,0.0,0.5,0.0,,7.0,1.0
Pembuatan Jahe Instan,145.52,39.0,1,Industri Pengolahan,1.0,2.0,0.8,0.0,152.0,6.0,1.0
Pembuatan Syrup,390.25,109.5,6,Industri Pengolahan,1.0,1.0,0.8,0.0,322.0,7.0,2.0
Pembuatan Batik,128.86,48.0,12,Industri Pengolahan,2.0,2.0,0.8,10.0,117.0,9.0,3.0
"Pembuatan Daster, Blus Muslim",189.6,342.5,18,Industri Pengolahan,2.0,2.0,0.25,0.0,68.0,7.0,1.0
"Pembuatan Souvenir, Bed Cover, Gordyn, Handycraft",556.34,320.0,22,Industri Pengolahan,2.0,0.0,0.8,0.0,,7.0,3.0
Pembuatan Sepatu,0.156437,1.1,8,Industri Pengolahan,2.0,0.0,0.2,0.0,636.0,8.0,3.0
Pembuatan Batik,94.85,112.0,42,Industri Pengolahan,1.0,1.0,0.8,10.0,87.0,6.0,3.0
"Pembuatan Kain Batik, Lukisan",26.1,27.0,4,Industri Pengolahan,1.0,0.0,0.8,5.0,12.0,5.0,2.0
Pembuatan Sprei,460.0,300.0,3,Industri Pengolahan,1.0,2.0,0.8,0.0,370.0,8.0,3.0
Pembuatan Sepatu,184.8,332.0,9,Industri Pengolahan,1.0,0.0,0.5,0.0,134.0,8.0,2.0
Pembuatan  Kerupuk ,209.35,691.2,7,Industri Pengolahan,1.0,1.0,0.05,10.0,222.0,5.0,1.0
Pembuatan Batu Bata Merah,0.147635,168.0,6,Industri Pengolahan,1.0,1.0,0.65,10.0,,8.0,1.0
Pembuatan Minuman Instan Tradisional,114.39,124.0,4,Industri Pengolahan,2.0,2.0,0.5,,105.0,8.0,1.0
Pembuatan Gerobak Bakpau,132.6,112.0,2,Industri Pengolahan,2.0,1.0,0.15,0.0,175.0,10.0,1.0
"Pembuatan Handycraft(Sulam Pita, Gordyn)",395.0,100.0,30,Industri Pengolahan,2.0,0.0,0.8,0.0,300.0,8.0,2.0
Pembuatan Bantal Boneka,581.0,26.5,5,Industri Pengolahan,2.0,2.0,0.2,5.0,560.0,6.0,2.0
Fiber,20.0,52.0,1,Industri Pengolahan,1.0,2.0,0.1,8.0,18.0,7.0,1.0
Pembuatan Gula Kacang,242.25,0.0,2,Industri Pengolahan,2.0,2.0,0.1,8.0,122.0,,1.0
Pengolahan Tempe,1.051,0.0,6,Industri Pengolahan,2.0,1.0,0.2,0.0,913.0,,1.0
"Pembuatan Makaroni, Stick Ketela, Opak, dan Balole",172.0,0.0,13,Industri Pengolahan,2.0,1.0,0.5,7.0,147.0,,1.0
Pembuatan Lukisan,638.75,10.5,2,Industri Pengolahan,1.0,0.0,0.1,5.0,628.0,,2.0
Memproduksi Tepung Mocaf,226.27,28.0,3,Industri Pengolahan,2.0,2.0,0.2,9.0,233.0,6.0,3.0
Membuat Aneka Makanan Basahan,140.25,27.5,3,Industri Pengolahan,2.0,0.0,0.15,,385.0,5.0,1.0
Memproduksi Krupuk,5.87,153.0,3,Industri Pengolahan,2.0,2.0,0.15,,91.0,4.0,2.0
Memproduksi Kue,232.0,30.5,3,Industri Pengolahan,2.0,1.0,0.15,9.0,305.0,6.0,2.0
Pembuatan Handycraft Kayu,35.3,30.0,4,Industri Pengolahan,1.0,2.0,0.5,5.0,17.0,5.0,1.0
Pembuatan Bika Ambon & Lapis Legit,94.2,723.0,1,Industri Pengolahan,1.0,0.0,0.23,0.0,315.0,6.0,2.0
Pembuatan Wafer/Timuk,288.0,30.0,10,Industri Pengolahan,3.0,2.0,0.8,6.0,222.0,,1.0
Pembuatan Lemari,247.0,101.0,7,Industri Pengolahan,2.0,2.0,0.1,10.0,208.0,4.0,2.0
Pembuatan Harley Davison,115.1,102.0,1,Industri Pengolahan,1.0,2.0,0.1,2.0,88.0,6.0,2.0
Pembuatan Kaligrafi,72.95,20.0,2,Industri Pengolahan,1.0,2.0,0.1,5.0,72.0,7.0,1.0
Pembuatan Dandang Panci,199.0,120.0,5,Industri Pengolahan,2.0,1.0,0.1,10.0,158.0,6.0,2.0
Pembuatan Pagar,310.0,250.0,5,Industri Pengolahan,2.0,2.0,0.8,10.0,208.0,6.0,2.0
Pembuatan Eag Rool,154.9,60.0,8,Industri Pengolahan,2.0,1.0,0.1,10.0,134.0,6.0,3.0
Pembuatan Tas,6.42,360.0,15,Industri Pengolahan,2.0,1.0,0.1,0.0,,5.0,2.0
Pembuatan Gordyn,506.0,262.0,14,Industri Pengolahan,1.0,1.0,0.2,10.0,464.0,7.0,2.0
Pembuatan Makanan,410.0,140.0,5,Industri Pengolahan,1.0,2.0,0.1,5.0,300.0,4.0,2.0
Pembuatan Tas,286.0,280.0,6,Industri Pengolahan,2.0,1.0,0.1,5.0,221.0,6.0,1.0
Pembuatan Baju,260.32,180.0,6,Industri Pengolahan,1.0,2.0,0.1,10.0,200.0,5.0,1.0
Pengolahan Sepatu,253.02,25.2,2,Industri Pengolahan,1.0,2.0,0.1,3.0,250.0,4.0,1.0
Pembuatan Kain,432.0,81.0,5,Industri Pengolahan,2.0,1.0,0.1,10.0,300.0,5.0,2.0
Kue Bolu Goreng,75.5,204.0,8,Industri Pengolahan,1.0,1.0,0.1,8.0,37.0,3.0,1.0
Kue Panggang Beras,999.8,132.0,4,Industri Pengolahan,1.0,2.0,0.1,6.0,940.0,5.0,1.0
Kue Paniaram,17.0,393.12,3,Industri Pengolahan,1.0,1.0,0.2,10.0,7.0,6.0,1.0
Kipang Dan Roti Gabin,5.9,91.0,6,Industri Pengolahan,1.0,2.0,0.3,7.0,6.0,5.0,1.0
Konveksi,137.0,65.2,14,Industri Pengolahan,1.0,2.0,0.35,4.0,135.0,,1.0
Snack Ummy,0.0,0.0,1,Industri Pengolahan,1.0,1.0,0.0,10.0,4.0,7.0,1.0
Es Dawet Banjar,0.0,0.0,4,Industri Pengolahan,1.0,0.0,0.0,10.0,100.0,8.0,1.0
Pengrajin Sepatu,33.9,590.4,5,Industri Pengolahan,1.0,1.0,0.1,10.0,0.0,,1.0
Produksi Genteng,236.5,252.0,7,Industri Pengolahan,2.0,1.0,0.2,5.0,216.0,5.0,1.0
Pembuatan Tas,43.05,300.0,3,Industri Pengolahan,3.0,0.0,0.05,10.0,0.0,4.0,2.0
Pembuatan Tas dan Sepatu,683.0,520.0,5,Industri Pengolahan,2.0,0.0,0.1,0.0,580.0,9.0,2.0
Pembuatan Loyang,51.5,96.0,1,Industri Pengolahan,3.0,0.0,0.03,,0.0,3.0,2.0
Pengolahan Aluminium,231.3,520.0,8,Industri Pengolahan,3.0,1.0,0.05,0.0,30.0,5.0,2.0
Pembuatan Furniture,405.5,190.0,1,Industri Pengolahan,1.0,1.0,0.2,10.0,512.0,4.0,2.0
Gula Merah,134.0,36.0,1,Industri Pengolahan,2.0,1.0,0.15,9.0,0.0,5.0,1.0
Membuat Kerupuk Sagu,112.0,24.0,2,Industri Pengolahan,1.0,2.0,0.15,10.0,50.0,4.0,1.0
Pembuatan Gula Aren,100.0,62.0,3,Industri Pengolahan,1.0,2.0,0.2,8.0,87.0,5.0,1.0
Pembuatan Furniture,167.37,134.0,7,Industri Pengolahan,1.0,1.0,0.1,0.0,150.0,5.0,1.0
Pembuatan Tahu,122.97,88.0,9,Industri Pengolahan,2.0,0.0,0.1,10.0,75.0,5.0,1.0
Pembuatan Lukisan,187.0,37.0,1,Industri Pengolahan,1.0,0.0,0.05,3.0,6.0,3.0,2.0
Pembuatan Alat Musik,114.0,32.0,1,Industri Pengolahan,3.0,0.0,0.03,10.0,200.0,3.0,2.0
Pembuatan Barang Kerajinan,383.73,69.0,6,Industri Pengolahan,2.0,1.0,0.1,5.0,0.0,3.0,3.0
Industri Pengelasan,115.0,232.0,3,Industri Pengolahan,1.0,2.0,0.3,0.0,420.0,9.0,2.0
Industri Gypsum,237.0,795.0,6,Industri Pengolahan,1.0,1.0,0.3,0.0,189.0,9.0,2.0
Pembuatan Lukisan,10.5,72.0,2,Industri Pengolahan,2.0,1.0,0.1,10.0,0.0,2.0,3.0
Pembuatan Kue,74.0,1.404,8,Industri Pengolahan,3.0,0.0,0.1,0.0,258.0,4.0,1.0
Pembuatan Sarung Bantal,381.0,135.0,10,Industri Pengolahan,2.0,2.0,0.2,10.0,450.0,3.0,2.0
Pembuatan Kue,63.0,180.0,4,Industri Pengolahan,1.0,0.0,0.05,5.0,5.0,5.0,1.0
Pembuatan Pakaian,157.5,178.0,1,Industri Pengolahan,1.0,1.0,0.05,0.0,0.0,7.0,2.0
Pengolahan Tempe,283.5,177.44,2,Industri Pengolahan,1.0,1.0,0.2,10.0,255.0,6.0,1.0
Pengolahan Tempe,147.25,259.92,2,Industri Pengolahan,1.0,1.0,0.2,10.0,132.0,6.0,1.0
Pengolahan Tempe,30.0,199.26,3,Industri Pengolahan,1.0,1.0,0.2,10.0,15.0,5.0,1.0
Pengolahan Tempe,158.0,133.92,3,Industri Pengolahan,1.0,1.0,0.2,10.0,145.0,6.0,1.0
Pengolahan Tempe,267.25,199.26,3,Industri Pengolahan,1.0,1.0,0.2,10.0,250.0,6.0,1.0
Pengolahan Tempe,152.0,133.92,3,Industri Pengolahan,1.0,1.0,0.2,10.0,135.0,5.0,1.0
Pengolahan Tempe,33.5,133.92,2,Industri Pengolahan,1.0,1.0,0.2,10.0,20.0,4.0,1.0
Pengolahan Tempe,33.75,133.92,2,Industri Pengolahan,1.0,1.0,0.2,10.0,20.0,4.0,1.0
Pengolahan Tempe,661.5,324.0,4,Industri Pengolahan,1.0,1.0,0.2,10.0,645.0,6.0,1.0
Pengolahan Tempe,176.5,259.2,2,Industri Pengolahan,1.0,1.0,0.2,10.0,160.0,4.0,1.0
Pengolahan Tempe,297.5,177.44,2,Industri Pengolahan,1.0,1.0,0.2,10.0,260.0,6.0,1.0
Pengolahan Tempe,220.5,345.6,3,Industri Pengolahan,1.0,1.0,0.2,10.0,181.0,6.0,1.0
Pengolahan Tempe,176.75,259.2,2,Industri Pengolahan,1.0,1.0,0.2,10.0,160.0,6.0,1.0
Pembuatan pakaian jadi,307.42,159.5,19,Industri Pengolahan,2.0,1.0,0.15,10.0,327.0,8.0,1.0
Pembuatan Tas,203.0,21.25,10,Industri Pengolahan,3.0,1.0,0.3,0.0,39.0,8.0,2.0
Pembuatan tas,385.0,125.0,4,Industri Pengolahan,3.0,1.0,0.3,0.0,344.0,7.0,2.0
Pembuatan tas,29.8,18.75,5,Industri Pengolahan,3.0,2.0,0.15,10.0,2.0,3.0,2.0
PABRIK TEMPE,55.0,70.0,7,Industri Pengolahan,1.0,2.0,0.05,5.0,10.0,5.0,1.0
PEMBUATAN ROTI ,265.0,960.0,7,Industri Pengolahan,1.0,2.0,0.7,0.0,230.0,5.0,1.0
Keripik Pisang,83.7,36.0,4,Industri Pengolahan,2.0,1.0,0.1,0.0,44.0,7.0,1.0
GENTENG,113.0,46.8,5,Industri Pengolahan,2.0,1.0,0.3,10.0,90.0,3.0,2.0
Industri Pengolahan,9.5,30.6,1,Industri Pengolahan,1.0,1.0,0.1,10.0,0.0,3.0,1.0
Pembuatan Kerupuk,53.0,480.0,10,Industri Pengolahan,1.0,1.0,0.2,10.0,5.0,5.0,1.0
Pakaian Jadi,147.0,549.0,2,Industri Pengolahan,1.0,1.0,0.2,10.0,157.0,5.0,1.0
Pengerajin Souvenir,103.0,48.0,1,Industri Pengolahan,1.0,2.0,0.2,3.0,88.0,5.0,2.0
Pengerajin Patung Dan Ukiran,96.0,60.0,1,Industri Pengolahan,1.0,2.0,0.2,3.0,84.0,5.0,2.0
Pengerajin Souvenir,89.0,48.0,1,Industri Pengolahan,1.0,2.0,0.2,5.0,80.0,4.0,2.0
"Pembuatan Mebel Kusen (Pintu, Meja, Kursi)",143.33,25.0,16,Industri Pengolahan,1.0,0.0,0.3,5.0,93.0,7.0,1.0
"Pengolahan Angklung, Kolintang, Calung",28.62,0.0,11,Industri Pengolahan,1.0,2.0,0.75,0.0,4.0,5.0,1.0
Pembuatan Legen,180.3,18.0,40,Industri Pengolahan,1.0,1.0,0.5,5.0,175.0,6.0,1.0
Pembuatan Besek,84.2,2.0,20,Industri Pengolahan,1.0,2.0,0.5,5.0,75.0,6.0,1.0
Pembuatan Wayang,153.25,6.0,2,Industri Pengolahan,3.0,2.0,0.75,10.0,103.0,7.0,2.0
Pembuatan Mebel,101.58,10.0,9,Industri Pengolahan,1.0,2.0,0.1,10.0,51.0,5.0,1.0
Pembuatan Mebel,304.7,25.0,8,Industri Pengolahan,1.0,1.0,0.1,0.0,213.0,5.0,1.0
Pembuatan Jamu Gendong,40.0,1.0,4,Industri Pengolahan,1.0,2.0,0.45,5.0,9.0,6.0,1.0
Pembuatan Jamu Gendong,110.0,0.0,2,Industri Pengolahan,1.0,2.0,0.5,5.0,85.0,4.0,1.0
Pembuatan Jamu Gendong,121.0,0.0,3,Industri Pengolahan,1.0,1.0,0.5,5.0,100.0,7.0,1.0
Pembuatan Tahu Kedelai,450.0,9.5,13,Industri Pengolahan,2.0,1.0,0.15,5.0,190.0,5.0,1.0
Pembuatan Batako,880.0,0.0,10,Industri Pengolahan,2.0,1.0,0.1,0.0,639.0,7.0,2.0
Pembuatan Kayu Bangunan,393.5,15.0,11,Industri Pengolahan,3.0,0.0,0.1,0.0,306.0,9.0,1.0
Pembuatan Kerupuk Kedelai dan Rambak,191.0,22.5,4,Industri Pengolahan,1.0,0.0,0.5,6.0,140.0,6.0,1.0
Pembuatan Wafer/Timuk,288.0,30.0,10,Industri Pengolahan,3.0,2.0,0.5,6.0,222.0,6.0,1.0
Pembuatan Mebel dan Handycraff,305.0,0.0,3,Industri Pengolahan,1.0,1.0,0.3,10.0,269.0,8.0,1.0
Pembuatan Mebel dan Kusen,174.5,0.0,4,Industri Pengolahan,1.0,1.0,0.25,0.0,95.0,8.0,1.0
Pembuatan Pot Bunga dari Semen,291.8,13.5,7,Industri Pengolahan,1.0,2.0,0.05,5.0,269.0,5.0,1.0
Pembuatan Furniture (Mebel) Ukir,804.0,0.0,20,Industri Pengolahan,1.0,1.0,0.2,0.0,580.0,7.0,2.0
Pembuatan Gula Kacang,242.25,0.0,2,Industri Pengolahan,2.0,2.0,0.5,8.0,122.0,5.0,1.0
"Pembuatan Kukusan, Tompo, Irik, dan Kalo",40.75,0.0,1,Industri Pengolahan,1.0,2.0,0.2,0.0,35.0,4.0,1.0
Pengolahan Tembakau,792.5,0.0,6,Industri Pengolahan,3.0,2.0,0.0,0.0,537.0,6.0,2.0
Pembuatan tas,380.0,145.0,4,Industri Pengolahan,3.0,1.0,0.15,0.0,344.0,7.0,3.0
Pembuatan Furniture,6.3,170.0,4,Industri Pengolahan,1.0,1.0,0.15,0.0,500.0,3.0,2.0
Pembuatan furniture,1.19,97.5,18,Industri Pengolahan,2.0,0.0,0.3,0.0,0.0,4.0,2.0
Pembuatan furniture,1.058,24.29,6,Industri Pengolahan,2.0,1.0,0.2,10.0,,7.0,2.0
Pembuatan furniture,85.0,20.25,5,Industri Pengolahan,1.0,0.0,0.3,10.0,50.0,6.0,2.0
Pembuatan pakaian pesanan,14.06,102.0,2,Industri Pengolahan,1.0,1.0,0.2,5.0,6.0,4.0,1.0
Pembuatan pakaian pesanan,7.0,104.0,4,Industri Pengolahan,1.0,1.0,0.1,5.0,1.0,4.0,1.0
Pembuatan Keripik,14.96,110.87,0,Industri Pengolahan,2.0,2.0,0.12,,36.0,5.0,1.0
Pembuatan Kerupuk,8.54,72.0,0,Industri Pengolahan,2.0,2.0,0.25,,45.0,4.0,1.0
Pembuatan Sapu Ijuk Dan Pel,26.6,324.0,1,Industri Pengolahan,3.0,0.0,0.25,9.0,14.0,5.0,1.0
"Pembuatan Paving, Batako, dan bus Beton",2.05,20.0,40,Industri Pengolahan,2.0,1.0,0.0,0.0,435.0,9.0,2.0
Pembuatan pakaian pesanan,4.4,93.0,2,Industri Pengolahan,1.0,1.0,0.2,5.0,6.0,5.0,1.0
Pembuatan Keripik Singkong,111.62,146.2,4,Industri Pengolahan,3.0,2.0,0.16,10.0,110.0,3.0,1.0
Pembuatan barang cetakan,32.5,105.0,8,Industri Pengolahan,2.0,0.0,0.3,,19.0,7.0,2.0
Pembuatan pakaian,47.5,102.0,3,Industri Pengolahan,1.0,2.0,0.1,,9.0,4.0,1.0
Pembuatan pakaian,64.5,103.0,4,Industri Pengolahan,1.0,2.0,0.2,9.0,30.0,5.0,1.0
JAHIT PAKAIAN,97.3,75.0,1,Industri Pengolahan,1.0,2.0,0.2,0.0,95.0,5.0,1.0
Keripik Singkong,181.5,295.86,8,Industri Pengolahan,2.0,0.0,0.1,10.0,20.0,7.0,1.0
Fiber Glass,535.0,200.0,12,Industri Pengolahan,2.0,2.0,0.05,2.0,7.0,8.0,2.0
Mebel Jati,41.0,540.0,3,Industri Pengolahan,2.0,0.0,0.2,10.0,8.0,4.0,2.0
Produksi Pastel,7.06,354.0,7,Industri Pengolahan,2.0,1.0,0.2,10.0,15.0,4.0,1.0
Pengolahan Makaroni,15.86,480.0,12,Industri Pengolahan,2.0,0.0,0.2,5.0,35.0,5.0,1.0
Susu Sari Kedelai,14.39,43.2,2,Industri Pengolahan,1.0,1.0,0.5,10.0,0.0,3.0,1.0
Pembuatan Keripik,15.2,55.2,2,Industri Pengolahan,2.0,1.0,0.1,10.0,0.0,3.0,1.0
Pembuatan Roti,16.8,363.0,2,Industri Pengolahan,1.0,0.0,0.1,1.0,0.0,3.0,1.0
Produksi Tempe,14.83,95.4,2,Industri Pengolahan,1.0,0.0,0.1,2.0,5.0,4.0,1.0
Pembuatan Barang Kerajinan,84.79,69.0,1,Industri Pengolahan,1.0,0.0,0.1,5.0,0.0,4.0,2.0
Pembuatan Barang Kerajinan,75.25,340.0,30,Industri Pengolahan,1.0,1.0,0.1,10.0,8.0,5.0,2.0
Pembuatan Barang Kerajinan,66.2,40.0,3,Industri Pengolahan,1.0,0.0,0.1,5.0,2.0,5.0,2.0
Pembuatan Lukisan,78.0,210.0,4,Industri Pengolahan,1.0,0.0,0.2,0.0,45.0,5.0,2.0
Pembuatan Barang Kerajinan,165.0,72.0,1,Industri Pengolahan,1.0,2.0,0.1,1.0,0.0,4.0,2.0
Pembuatan Barang Kerajinan,128.0,46.5,2,Industri Pengolahan,1.0,0.0,0.05,5.0,10.0,4.0,2.0
Pembuatan Barang Kerajinan,23.0,145.0,2,Industri Pengolahan,2.0,0.0,0.05,5.0,0.0,3.0,2.0
Pembuatan Keripik Singkong Rasa Gadung,235.75,164.9,5,Industri Pengolahan,2.0,2.0,0.75,0.0,210.0,8.0,1.0
Genteng,164.5,104.0,19,Industri Pengolahan,1.0,2.0,0.1,8.0,330.0,5.0,2.0
Tempe ,52.0,75.5,2,Industri Pengolahan,1.0,1.0,0.1,8.0,110.0,6.0,2.0
Kerajinan Sangkar Burung ,43.6,67.0,2,Industri Pengolahan,1.0,1.0,0.1,8.0,100.0,5.0,3.0
Goredeng ,118.0,310.0,4,Industri Pengolahan,1.0,1.0,0.1,8.0,110.0,6.0,1.0
Kerupuk,134.0,323.0,8,Industri Pengolahan,1.0,0.0,0.1,8.0,893.0,5.0,2.0
Perajin Sangkar Burung ,20.6,95.0,3,Industri Pengolahan,1.0,1.0,0.1,8.0,177.0,5.0,2.0
Konveksi,47.0,154.0,2,Industri Pengolahan,1.0,2.0,0.3,10.0,82.0,11.0,2.0
Pembuatan furniture,1.073,150.0,7,Industri Pengolahan,2.0,0.0,0.25,10.0,,9.0,2.0
Cireng,136.0,2.28,11,Industri Pengolahan,1.0,2.0,0.2,0.0,70.0,7.0,0.0
PEMBUATAN BATAKO ,161.0,360.0,5,Industri Pengolahan,2.0,1.0,0.3,0.0,112.0,7.0,1.0
Pembuatan Anthurium,908.4,0.0,2,Industri Pengolahan,2.0,0.0,0.25,0.0,100.0,6.0,1.0
Pengolahan Tempe,1.051,0.0,6,Industri Pengolahan,2.0,1.0,0.3,0.0,913.0,5.0,1.0
"Pembuatan Makaroni, Stick Ketela, Opak, dan Balole",172.0,0.0,13,Industri Pengolahan,2.0,1.0,0.5,7.0,147.0,8.0,1.0
Pembuatan Keripik Paru,381.55,97.5,5,Industri Pengolahan,2.0,1.0,0.2,0.0,332.0,8.0,2.0
Pembuatan Minuman Instan,901.74,50.0,6,Industri Pengolahan,3.0,1.0,0.75,0.0,874.0,8.0,1.0
Pembuatan Mebel,88.15,40.0,3,Industri Pengolahan,1.0,0.0,0.75,10.0,54.0,6.0,1.0
Pembuatan Lukisan,638.75,10.5,2,Industri Pengolahan,1.0,0.0,0.75,5.0,628.0,4.0,2.0
Pembuatan Alat Permainan Edukatif,483.4,25.0,14,Industri Pengolahan,2.0,2.0,0.5,10.0,356.0,6.0,1.0
Pembuatan Kerupuk Rambak,91.0,18.0,3,Industri Pengolahan,2.0,1.0,0.1,5.0,78.0,4.0,1.0
Pembuatan Kerupuk,38.0,15.0,2,Industri Pengolahan,3.0,2.0,0.2,0.0,35.0,4.0,1.0
Pembuatan Kerupuk,107.4,25.0,4,Industri Pengolahan,3.0,1.0,0.75,0.0,20.0,7.0,1.0
Pembuatan Batu Bata,12.07,9.0,5,Industri Pengolahan,1.0,1.0,0.5,5.0,2.0,4.0,1.0
Pengolahan Rangkaian Parcel,64.65,20.0,16,Industri Pengolahan,2.0,2.0,0.5,5.0,54.0,5.0,2.0
Pembuatan Mebel,85.7,22.0,2,Industri Pengolahan,1.0,0.0,0.1,0.0,106.0,5.0,1.0
"Pembuatan Silikon (Pengkilat, Pembersih)",557.15,76.8,22,Industri Pengolahan,2.0,1.0,0.75,10.0,190.0,5.0,1.0
Pembuatan Batu Bata,52.87,9.0,4,Industri Pengolahan,1.0,2.0,0.1,5.0,45.0,3.0,1.0
Pembuatan Kerupuk Rambak,39.5,30.0,5,Industri Pengolahan,3.0,1.0,0.5,0.0,20.0,7.0,1.0
Pengrajin Bronjong,15.0,171.0,2,Industri Pengolahan,2.0,2.0,0.2,10.0,10.0,6.0,1.0
Pembuatan Telenan,59.4,75.0,1,Industri Pengolahan,2.0,2.0,0.2,4.0,165.0,6.0,2.0
Pembuatan Genteng,225.15,31.5,2,Industri Pengolahan,1.0,0.0,0.2,8.0,507.0,6.0,1.0
Pembuatan Peti,347.0,266.0,13,Industri Pengolahan,1.0,2.0,0.1,5.0,830.0,9.0,1.0
Pembuatan Batu Bata,306.0,59.77,4,Industri Pengolahan,2.0,0.0,0.3,8.0,450.0,4.0,1.0
Produksi Keripik Singkong,14.095,210.0,8,Industri Pengolahan,1.0,2.0,0.3,4.0,5.0,4.0,1.0
Pembuatan Kusen Pintu,187.0,75.0,2,Industri Pengolahan,1.0,0.0,0.2,8.0,50.0,7.0,2.0
TELUR ASIN,2.4,117.0,1,Industri Pengolahan,2.0,1.0,0.25,10.0,203.0,4.0,1.0
Anyaman Bambu,4.8,84.0,3,Industri Pengolahan,2.0,2.0,0.15,2.0,6.0,4.0,1.0
Pembuatan Meubel,19.0,305.0,3,Industri Pengolahan,2.0,1.0,0.25,10.0,4.0,4.0,2.0
Pembuatan Keripik Cemilan,15.8,212.0,4,Industri Pengolahan,1.0,1.0,0.2,2.0,206.0,4.0,1.0
Pembuatan Karak,5.0,12.0,5,Industri Pengolahan,1.0,2.0,0.25,4.0,4.0,4.0,1.0
Pembuatan Tahu Dan Tempe,13.74,121.32,0,Industri Pengolahan,1.0,0.0,0.25,4.0,35.0,5.0,1.0
Pembuatan Rambak,20.4,97.2,6,Industri Pengolahan,1.0,2.0,1.0,0.0,56.0,5.0,2.0
Pembuatan Aneka Keripik,10.44,226.8,6,Industri Pengolahan,2.0,1.0,0.25,9.0,20.0,5.0,2.0
Kripik Singkong,144.88,13.44,3,Industri Pengolahan,1.0,1.0,0.15,10.0,65.0,5.0,1.0
Pembuatan Batu Bata,456.0,576.0,12,Industri Pengolahan,2.0,1.0,0.2,0.0,100.0,6.0,2.0
Pembuatan Meubel,307.5,350.0,10,Industri Pengolahan,2.0,1.0,0.2,0.0,265.0,6.0,2.0
Pembuatan Tahu,72.62,504.9,3,Industri Pengolahan,3.0,0.0,0.2,0.0,100.0,3.0,1.0
Pembuatan Meubel,28.0,300.0,6,Industri Pengolahan,2.0,0.0,0.25,0.0,42.0,5.0,2.0
Industri Makanan,19.0,30.0,1,Industri Pengolahan,1.0,1.0,0.05,5.0,116.0,7.0,1.0
