Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Warung Ngalim,Warung Ngalim,"16,75",162,2,2014,?pm=/XDuQSeFftu9YE3d9FZzrA==&mp=xI6rAeQkygTAn3Z625IGLg==,Industri Pengolahan
 Es Batu Masriah,Es Batu,"14,2","5,5",2,2014,?pm=8RJYiw48bU0nojkxoJrCkw==&mp=xI6rAeQkygTAn3Z625IGLg==,Industri Pengolahan
 Bakso Rohman,Bakso,"6,03","82,5",4,2014,?pm=YgebthNGPaquH2ehh1MiPw==&mp=xI6rAeQkygTAn3Z625IGLg==,Industri Pengolahan
 Cendol Kasrani,Cendol,"1,8",60,2,2014,?pm=TFfgVLp2S1RRq4q2F4JoqQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Industri Pengolahan
 Lisa Bakery,Industi,"213,1",144,1,2013,?pm=UBAuIeYVHceLpv97YRPMsQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 I Kabi,Tenun,11.500.000,52.000.000,1,2013,?pm=6qvdldVDxtsPgxJ5HZhj1g==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Indo Asse,Tenun,129.000.000,52.000.000,1,2013,?pm=RF/VZWMkPxaPmJV2xN395w==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Sakriah,Tenun Samarinda,142.480.000,53.915.000,3,2013,?pm=ytLlBy0wLcNN9j2OZgFvxA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Sumarni,Manik,209.650.000,45.880.000,1,2013,?pm=MWShGCyJNKhxpko0dVdtsQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Jamriana,Tenun,228.200.000,53.625.000,2,2013,?pm=Q5TFe1UgXc5n0Y36L9XW7g==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Atira,Manik,189.100.000,45.040.000,1,2013,?pm=0yTK0KrxIRbK/xZYxxaYWA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Iksi,Tenun,120.300.000,45.600.000,1,2013,?pm=W5ElyHRys9GHA2mNLalQ+Q==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Marhumah,Tenun,117.550.000,38.500.000,1,2013,?pm=SST1bRBWByCNRd7MUS+Owg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 UD Sarana Wisma,Kusen Pintu Dan Cendela,"60,5",240,3,2010,?pm=mHTi7QZ4xsMJ1ksc+r8qdg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 UD Karya Mustika,Pengolahan Kayu,195,600,11,2010,?pm=cZz7nRkg6lhrwLgJVaxR2g==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 UD Galih Mulyo,Kusen Pintu Dan Cendela,"157,5",330,2,2010,?pm=AdflfYklCXCl67yY9zzEtg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 Akhsama Higienis,Air Isi Ulang,"159,5",88,2,2011,?pm=j7RG+wjThKfC/zB9hBi/gQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Mariyati Joss,Kue-kue Basah,"118,5",30,12,2011,?pm=6vtdq9OKvOeaD8Zpbe1igA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Depo Air Isi Ulang Oasezam,Depo Air Isi Ulang,"41,39",189,5,2011,?pm=PT/6FXuproqZdqrKy05JHg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Hasni,Tenun,190.850.000,47.050.000,1,2013,?pm=PxUagbFia6Vjra+EVN5lHw==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
